"Year","Product","Value"
"2015/2016","Butter",0
"2015/2016","Skim Milk Powder",31145
"2015/2016","Cheese",8842
"2015/2016","Other Milk Products",21982
"2015/2016","Incorporated Products",19155
"2016/2017","Butter",0
"2016/2017","Skim Milk Powder",31024
"2016/2017","Cheese",7122
"2016/2017","Other Milk Products",6876
"2016/2017","Incorporated Products",10639
"2017/2018","Butter",182
"2017/2018","Skim Milk Powder",0
"2017/2018","Cheese",9754
"2017/2018","Other Milk Products",36
"2017/2018","Incorporated Products",0
"2018/2019","Butter",585
"2018/2019","Skim Milk Powder",0
"2018/2019","Cheese",9299
"2018/2019","Other Milk Products",89
"2018/2019","Incorporated Products",0
"2019/2020","Butter",0
"2019/2020","Skim Milk Powder",0
"2019/2020","Cheese",11696
"2019/2020","Other Milk Products",37
"2019/2020","Incorporated Products",0
"2020","Butter",0
"2020","Skim Milk Powder",0
"2020","Cheese",3559.12
"2020","Other Milk Products",11.74
"2020","Incorporated Products",0
"2015/2016",,81124
"2016/2017",,55661
"2017/2018",,9972
"2018/2019",,9973
"2019/2020",,11733
"2020",,3570.86
