Year,Value,Units,Series
1990,40.54335524,Percentage (%),Forest area as a proportion of total land area
1991,40.53742018,Percentage (%),Forest area as a proportion of total land area
1992,40.53137522,Percentage (%),Forest area as a proportion of total land area
1993,40.52587979,Percentage (%),Forest area as a proportion of total land area
1994,40.51741684,Percentage (%),Forest area as a proportion of total land area
1995,40.51302051,Percentage (%),Forest area as a proportion of total land area
1996,40.50917371,Percentage (%),Forest area as a proportion of total land area
1997,40.5051071,Percentage (%),Forest area as a proportion of total land area
1998,40.50104049,Percentage (%),Forest area as a proportion of total land area
1999,40.49642433,Percentage (%),Forest area as a proportion of total land area
2000,40.49147845,Percentage (%),Forest area as a proportion of total land area
2001,40.48719202,Percentage (%),Forest area as a proportion of total land area
2002,40.48290559,Percentage (%),Forest area as a proportion of total land area
2003,40.47719036,Percentage (%),Forest area as a proportion of total land area
2004,40.47180484,Percentage (%),Forest area as a proportion of total land area
2005,40.46652924,Percentage (%),Forest area as a proportion of total land area
2006,40.46169327,Percentage (%),Forest area as a proportion of total land area
2007,40.45334022,Percentage (%),Forest area as a proportion of total land area
2008,40.44817453,Percentage (%),Forest area as a proportion of total land area
2009,40.44311874,Percentage (%),Forest area as a proportion of total land area
2010,40.43850258,Percentage (%),Forest area as a proportion of total land area
2011,40.43410625,Percentage (%),Forest area as a proportion of total land area
2012,40.42949009,Percentage (%),Forest area as a proportion of total land area
2013,40.42476403,Percentage (%),Forest area as a proportion of total land area
2014,40.41893888,Percentage (%),Forest area as a proportion of total land area
2015,40.4126741,Percentage (%),Forest area as a proportion of total land area
2016,40.40651923,Percentage (%),Forest area as a proportion of total land area
2017,40.40036436,Percentage (%),Forest area as a proportion of total land area
2018,40.39464912,Percentage (%),Forest area as a proportion of total land area
2019,40.38915369,Percentage (%),Forest area as a proportion of total land area
2020,40.38354836,Percentage (%),Forest area as a proportion of total land area
2021,40.37805294,Percentage (%),Forest area as a proportion of total land area
2022,40.37266743,Percentage (%),Forest area as a proportion of total land area
1990,368883000.0,Hectares,Forest area
1991,368829000.0,Hectares,Forest area
1992,368774000.0,Hectares,Forest area
1993,368724000.0,Hectares,Forest area
1994,368647000.0,Hectares,Forest area
1995,368607000.0,Hectares,Forest area
1996,368572000.0,Hectares,Forest area
1997,368535000.0,Hectares,Forest area
1998,368498000.0,Hectares,Forest area
1999,368456000.0,Hectares,Forest area
2000,368411000.0,Hectares,Forest area
2001,368372000.0,Hectares,Forest area
2002,368333000.0,Hectares,Forest area
2003,368281000.0,Hectares,Forest area
2004,368232000.0,Hectares,Forest area
2005,368184000.0,Hectares,Forest area
2006,368140000.0,Hectares,Forest area
2007,368064000.0,Hectares,Forest area
2008,368017000.0,Hectares,Forest area
2009,367971000.0,Hectares,Forest area
2010,367929000.0,Hectares,Forest area
2011,367889000.0,Hectares,Forest area
2012,367847000.0,Hectares,Forest area
2013,367804000.0,Hectares,Forest area
2014,367751000.0,Hectares,Forest area
2015,367694000.0,Hectares,Forest area
2016,367638000.0,Hectares,Forest area
2017,367582000.0,Hectares,Forest area
2018,367530000.0,Hectares,Forest area
2019,367480000.0,Hectares,Forest area
2020,367429000.0,Hectares,Forest area
2021,367379000.0,Hectares,Forest area
2022,367330000.0,Hectares,Forest area
1990,909848230.0,Hectares,Land area
1991,909848230.0,Hectares,Land area
1992,909848230.0,Hectares,Land area
1993,909848230.0,Hectares,Land area
1994,909848230.0,Hectares,Land area
1995,909848230.0,Hectares,Land area
1996,909848230.0,Hectares,Land area
1997,909848230.0,Hectares,Land area
1998,909848230.0,Hectares,Land area
1999,909848230.0,Hectares,Land area
2000,909848230.0,Hectares,Land area
2001,909848230.0,Hectares,Land area
2002,909848230.0,Hectares,Land area
2003,909848230.0,Hectares,Land area
2004,909848230.0,Hectares,Land area
2005,909848230.0,Hectares,Land area
2006,909848230.0,Hectares,Land area
2007,909848230.0,Hectares,Land area
2008,909848230.0,Hectares,Land area
2009,909848230.0,Hectares,Land area
2010,909848230.0,Hectares,Land area
2011,909848230.0,Hectares,Land area
2012,909848230.0,Hectares,Land area
2013,909848230.0,Hectares,Land area
2014,909848230.0,Hectares,Land area
2015,909848230.0,Hectares,Land area
2016,909848230.0,Hectares,Land area
2017,909848230.0,Hectares,Land area
2018,909848230.0,Hectares,Land area
2019,909848230.0,Hectares,Land area
2020,909848230.0,Hectares,Land area
2021,909848230.0,Hectares,Land area
2022,909848230.0,Hectares,Land area
